epoch,training loss,train accuracy,test loss,test accuracy
0,3.219758030695793,0.6061719059944153,5.250995635986328,0.6223214864730835
1,3.1282695562411575,0.6144076585769653,5.072033882141113,0.6202380657196045
2,3.021186883632953,0.6012105941772461,4.9945268630981445,0.6208333373069763
3,2.8788889340865307,0.6098266839981079,4.623837471008301,0.6116071939468384
4,2.831154215030181,0.6150195598602295,4.754167556762695,0.6386905312538147
5,2.650089829395979,0.6258351802825928,4.9586310386657715,0.6089286208152771
6,2.8188556723105602,0.6149203181266785,4.444825172424316,0.624404788017273
7,2.479911607045394,0.6264967322349548,4.240977764129639,0.6425595283508301
8,2.404836517113906,0.639032244682312,4.378840923309326,0.6455357074737549
9,2.2102469542087655,0.6377919316291809,4.262811183929443,0.6407737731933594
10,1.9599849505302234,0.6470860838890076,3.511594533920288,0.6529762744903564
11,1.8444512562874036,0.6435801386833191,2.7730817794799805,0.636904776096344
12,2.6266295512517295,0.6244625449180603,4.960673809051514,0.6375000476837158
13,2.370119434136611,0.6338889598846436,4.541146755218506,0.6425595283508301
14,1.885191104350946,0.6400079727172852,2.855950355529785,0.661309540271759
15,1.3628754615783691,0.6555864214897156,2.079021692276001,0.6616071462631226
16,1.0881697688347254,0.6665674448013306,1.8957993984222412,0.6860119104385376
17,0.9297426113715539,0.6832043528556824,2.600733757019043,0.6809524297714233
18,0.8905367056528727,0.6868261098861694,1.402579665184021,0.6755952835083008
19,0.9993990002534329,0.6751670837402344,1.1453218460083008,0.6747024059295654
20,0.7750588655471802,0.6871237754821777,1.219464898109436,0.6877976655960083
21,0.5648689705591935,0.7033969163894653,1.1392223834991455,0.7101191282272339
22,0.5645449199737647,0.7181154489517212,1.3828999996185303,0.6895833015441895
23,0.5688966367489252,0.7091023921966553,0.8309651613235474,0.718154788017273
24,0.4053507454884358,0.732271671295166,0.9903162717819214,0.7303571701049805
25,0.3678399056960375,0.7415989637374878,0.7643253207206726,0.7488095164299011
26,0.3228156960163361,0.7440961599349976,0.5506398677825928,0.7345237731933594
27,0.2538985636753914,0.7587815523147583,0.44817832112312317,0.7559523582458496
28,0.20325925946235657,0.7762287855148315,0.44331640005111694,0.7651786208152771
29,0.17583361745644838,0.7864987254142761,0.4105435311794281,0.7693452835083008
30,0.16412922338797495,0.7905504107475281,0.4438573122024536,0.766964316368103
31,0.1498176722954481,0.7981411814689636,0.4229549169540405,0.7705358266830444
32,0.14626384067993897,0.8020110130310059,0.3814961910247803,0.7785714864730835
33,0.12088548573545921,0.8099986910820007,0.3791511356830597,0.7842262983322144
34,0.10795035805457677,0.8191937208175659,0.3315557539463043,0.78125
35,0.09761030742755303,0.8241549730300903,0.3358054757118225,0.7952381372451782
36,0.08574454811138985,0.8315472602844238,0.3204684853553772,0.798214316368103
37,0.0798547516266505,0.8363763093948364,0.345477432012558,0.7907738089561462
38,0.07170805354148914,0.842677116394043,0.32165876030921936,0.8014881014823914
39,0.06654203071808204,0.8471423387527466,0.2822839617729187,0.8041666746139526
40,0.06168939841863436,0.848581075668335,0.285000205039978,0.8032738566398621
41,0.05488718033601076,0.8583217859268188,0.28074753284454346,0.8160714507102966
42,0.052081596392851606,0.8617781400680542,0.2553103566169739,0.8095237612724304
43,0.05795471446636396,0.8614143133163452,0.34553012251853943,0.8017857074737549
44,0.07146650543197608,0.8453562259674072,0.2721598744392395,0.8092262148857117
45,0.06063259727297685,0.856238067150116,0.2892320454120636,0.8142857551574707
46,0.05791007851560911,0.8565853834152222,0.26254957914352417,0.8205357789993286
47,0.058238923931733154,0.861066997051239,0.3103870749473572,0.8154761791229248
48,0.062141539385685556,0.8597275018692017,0.24458816647529602,0.8166666030883789
49,0.054084305388805196,0.8634650111198425,0.25938019156455994,0.8291666507720947
50,0.04471927002454416,0.8744791746139526,0.298514187335968,0.8360118865966797
51,0.03954975722500911,0.8819706439971924,0.21434429287910461,0.8333333730697632
52,0.037257575358335786,0.8873288631439209,0.23177362978458405,0.8392857313156128
53,0.03026712270310292,0.8969206809997559,0.23237647116184235,0.8419643640518188
54,0.030110784782431066,0.8989548087120056,0.24583011865615845,0.8306547999382019
55,0.035051872714971885,0.8914632797241211,0.21736937761306763,0.8342262506484985
56,0.03099070207621807,0.892802894115448,0.2371627688407898,0.841369092464447
57,0.03585213040694212,0.8871800303459167,0.2523905336856842,0.8377976417541504
58,0.029744202891985577,0.8968380689620972,0.2425369769334793,0.8517857789993286
59,0.02675892947575985,0.9071409702301025,0.26122376322746277,0.8377976417541504
60,0.03692605365545322,0.8950189352035522,0.2934599816799164,0.8348214626312256
61,0.038855401799082756,0.8878250122070312,0.22090551257133484,0.8404762148857117
62,0.03132383749844172,0.8962923288345337,0.25310343503952026,0.8479167222976685
63,0.029155220788640853,0.9052556753158569,0.26264581084251404,0.8440475463867188
64,0.028381262356654193,0.9038500189781189,0.24883460998535156,0.8351190090179443
65,0.029382560545435317,0.9036681056022644,0.23446619510650635,0.8485118746757507
66,0.026988155327928372,0.9126811027526855,0.28346073627471924,0.8467261791229248
67,0.061469702766491816,0.8793577551841736,0.34957778453826904,0.8020833730697632
68,0.13352817325637892,0.8350202441215515,0.31983649730682373,0.7979166507720947
69,0.13277117592784074,0.826337993144989,0.6004314422607422,0.7741071581840515
70,0.49579169505681747,0.7357611060142517,1.3732565641403198,0.6937500834465027
71,1.0972270843310235,0.6766058802604675,1.1254119873046875,0.6752976179122925
72,1.0529832266844237,0.6732155680656433,0.8747549057006836,0.6937500238418579
73,0.6869169955070202,0.7043890953063965,1.3311333656311035,0.682440459728241
74,0.689029954182796,0.7059767246246338,0.9633743166923523,0.7133929133415222
75,0.4593528895041881,0.7329165935516357,0.9559235572814941,0.7178572416305542
76,0.3321344982355069,0.7482470273971558,0.5574339628219604,0.754464328289032
77,0.18806426647381905,0.7755507230758667,0.6076700687408447,0.7729166746139526
78,0.11992574005554883,0.8036152124404907,0.45181816816329956,0.7895833849906921
79,0.08565038203811035,0.8228980898857117,0.4187662899494171,0.8014881014823914
80,0.07286661557662182,0.835665225982666,0.4242314100265503,0.8068453073501587
81,0.06114196146910007,0.847274661064148,0.40132302045822144,0.8127976655960083
82,0.05088931885667336,0.8563703298568726,0.3736618161201477,0.8160714507102966
83,0.04305757233538689,0.8689885139465332,0.3883454203605652,0.8217262029647827
84,0.03884107414155434,0.8772739768028259,0.3742274045944214,0.8238095641136169
85,0.035493459743567005,0.8823014497756958,0.38391560316085815,0.8244048357009888
86,0.03200787009719091,0.8878580927848816,0.3467923402786255,0.8324405550956726
87,0.029151743086866844,0.8942416906356812,0.36490845680236816,0.8375000357627869
88,0.026709028161489047,0.9012205004692078,0.3784771263599396,0.8383929133415222
89,0.02507457275612232,0.9057352542877197,0.3571878671646118,0.8398809432983398
90,0.023661129319897063,0.909687876701355,0.3623684048652649,0.8404762148857117
91,0.021621583674389582,0.9146987199783325,0.3301055431365967,0.8416666984558105
92,0.020549661336609952,0.9191638827323914,0.34186869859695435,0.8428572416305542
93,0.01938887124355787,0.9224383234977722,0.3351489007472992,0.8440476655960083
94,0.01925953733137785,0.9221076369285583,0.32951897382736206,0.8458333015441895
95,0.019179627060508117,0.9229841232299805,0.36478251218795776,0.843154788017273
96,0.020529047490503542,0.924307107925415,0.3590432405471802,0.8461309671401978
97,0.018628226020015203,0.9265727996826172,0.3352550268173218,0.8464285731315613
98,0.018151806213725835,0.9269862174987793,0.3327004313468933,0.8479167222976685
99,0.01744310748882783,0.9280446767807007,0.3542556166648865,0.8505953550338745
epoch,training loss,train accuracy,test loss,test accuracy
0,0.07513890056783497,0.023698486387729645,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
